amount;category;country;date;description;industry;project_name;;;;
EUR 0.01 MLN;;Nigeria;9/26/2018;{'Who is our client': ' Emzor Pharmaceutical Industries Ltd is a private pharmaceutical manufacturing company based in Lagos, Nigeria specializing in manufacturing high quality pharmaceutical products and medical consumables.', 'Funding objective': ' Emzor has developed some procedures to manage drugs and medicine quality, however, gaps with regard to IFC PS1(Assessment and Management of Environmental and Social Risks and Impacts) were identified.', 'Why we fund this project': ' Despite the commitment towards good E&S practices, Emzor does not currently have in place an ESMS which would allow the company to manage the E&S risks to the extend desirable by itself and its investors.'};Infrastructure, Manufacturing and Services;EMZOR PHARMACEUTICAL INDUSTRIES LIM;;;;
USD 7.50 MLN;;Global;11/30/2018;"{'Who is our client': ' d.light is a leading off-grid energy provider that offers a range of solutions to lower income households, from small solar-lanterns to pay-as-you-go (“PAYGO”) solar home systems. d.light has its headquarters in Nairobi and mostly sells and finances these products in East Africa and India, thereby providing a sustainable alternative to polluting kerosene lanterns and other fossil fuel based alternative energy sources.', 'Funding objective': "" FMO is investing up to EUR 10 million along with Swedfund and Norfund and lead-investor Evolution II Fund, Inspired Evolution Investment Management's second fund. Funding is to provide the company with the necessary capital to allow the company’s further growth and further consolidate its position as market leader."", 'Why we fund this project': "" The project has a high developmental impact as d.light provides solar solutions to lower income households in Africa and South-Asia, thereby positively impacting electrification, environment, health and employment. Financing renewable energy production is in the core of FMO's strategy."", 'Environmental and social rationale': ' The investment is classified as E&S category B due to minimal negative impact on the environment.'}";Energy;EVOLUTION II D. LIGHT LIMITED;;;;
EUR 12.23 MLN;;Ukraine;12/21/2018;{'Who is our client': ' Scatec Solar ASA (“SSO”) is a publicly-traded Norwegian developer, investor and constructor of PV solar projects in emerging markets: currently, they have 322 MW operational and over 1 GW in development. For the 30MWp, Chysta Enerhiia-2011 LLC (aka: “Kamiyanka”) project in the Ukraine, the EBRD was invited as lead arranger.   When in mid-2017, the Ukraine adopted a new Electricity Market Law (“New Law”), many local and international developers and sponsors realized that Renewable Energy (“RE”) Projects were made possible with (i) long term power purchase agreements (“PPAs”) and (ii) a Feed-in-Tariff (“FiT”) in EUR.', 'Funding objective': ' FMO proposed investment in Kamiyanka is an up to EUR13.5m B-Loan participation under EBRD’s Loan Agreement. The proposed debt funding will be dedicated to the development and construction of a 30MWp PV Solar plant in the Ukraine. Scatec will provide the necessary equity contributions along with a prospective co-investor.   Because Kamiyanka will be funded by EBRD under their Ukraine Sustainable Energy Lending Facility (“USELF III”) and EBRD’s E&S Performance Requirements do apply for this Project, reference is also made to EBRD’s web-site: http://www.ebrd.com and https://www.ebrd.com/cs/Satellite?c=Content&cid=1395274751052&d=Mobile&pagename=EBRD%2FContent%2FContentLayout', 'Why we fund this project': ' The Kamiyanka investments by Scatec do directly contribute to the realization of the policy of the Ukrainian government targeting a 15% in renewable electricity generation by 2030 (up from the current ~2%). This Project also complies with FMO’s Strategy with respect to energy security and energy transition, which is of particular importance for the Ukraine (being still heavily dependent upon nuclear and thermal generation). A second benefit of the Project is the clean-up of the site, currently partly being used as waste dump by local communities.', 'Environmental and social rationale': ' The Project is a B+ risk category according to FMO, due to temporary impacts generated during Construction Phase (like noise, dust, traffic), and impacts on land, and biodiversity. The impacts are mitigated through dedicated mitigation plans and activities. For FMO E&S rationale and Ex Ante Disclosure, FMO uses for all its investments however the (8) IFC Performance Standards (“PS”):  PS 1 - Assessment and Management of Environmental and Social Risks and Impacts.  Considered being applicable due to environmental and social impacts as a result of the Project.  PS 2 - Labour and working conditions.  Applicable due to labour involved in Project activities, mostly during the Construction Phase.  PS 3 - Resource Efficiency and Pollution Prevention. Applicable due to Construction activities and/or Operational activities, as part of the Project;;;;;;
USD 13.57 MLN;;Malawi;3/25/2019;{'Who is our client': ' FMO is considering a guarantee to the EPC provider, SUMEC alongside an investment opportunity in JCM Salima UK Ltd (“Salima”), a company incorporated in the U.K. and 75% owner of JCM Matswani Solar Corp Ltd, a Malawi Special Purpose Vehicle (the “Project Company”) established for the development of a 60 MWac solar PV plant located in the Salima district of Malawi (the “Project”). Infraco Africa Ltd owns the remaining 25% of the Project Company. The Project was developed by InfraCo Africa, JCM Power and Matswani Capital.', 'Funding objective': ' FMO’s financing will be used to finance the construction of the Project which will be the first solar PV plant and Independent Power Producer in the country upon its completion. Malawi has abundant solar resource availability and the Project can assist Malawi in diversifying its electricity mix and reducing its reliance on import of fossil fuels.', 'Why we fund this project': ' Malawi is one of the poorest countries in the world with a significant energy shortage. By funding this project, FMO can enable direct economic growth during the construction and operations of the Project and indirect growth by providing reliable electricity supply. The funding touches some of FMO’s key focus segments, Renewable Energy and Inclusive Development and allows FMO to build out renewable energy capacity in a market which is characterized by a power deficit. The Government of Malawi is supportive to renewable energy project development and consequently has created the enabling environment for potential investors and lenders to invest in the sector. The Project is expected to generate an average of 154 GWh of electricity annually.', 'Environmental and social rationale': ' The E&S risk of the transaction has been classified as cat B+. The main E&S impacts and risks relate to economic (voluntary) resettlement of current subsistence agricultural land-users and to labour conditions and safety during construction. The transaction fully triggers IFC Performance Standard 1,2,3 and 4. Performance Standard 5 is not triggered, as the Project could not resort to expropriation in their land acquisition and will not cause involuntary restrictions in access to land and/or resources. Performance 6 is triggered to a limited extent, as the Project affected area is modified habitat and impacts on priority ecosystem services are restricted to the agriculture by land-owners selling voluntarily. Performance Standard 7 is not triggered because the communities surrounding the Project are not indigenous peoples. Performance Standard 8 is not triggered beyond the standard chance find procedure requirement. An ESIA, a Stakeholder Engagement Plan and a Livelihood Restoration Plan in accordance with IFC Performance Standards have been completed by an international E&S consultant. Detailed environmental and social development plans are being developed, dedicated community liaison capacity is in place and to be extended with additional EHS management staffing. Outstanding follow-up actions will be captured in an Environmental & Social Action Plan that will be part of the legal agreements.'};Energy;SUMEC CLEAN ENERGY INTERNATIONAL CO;;;;
JOD 0.90 MLN;;Jordan;6/19/2019;"{'Who is our client': ' Tamweelcom, which was established in 1999, is the 2nd largest MFI in Jordan. Its mission is to improve the economic productivity in Jordan, through providing a variety of responsible financial solutions to licensed, semi-licensed, and non-licensed micro and small businesses, which represent a wide majority of economic activities. One of its target groups are youth and women entrepreneurs, which will be expanded to Syrian refugee entrepreneurs. Tamweelcom has a strong position via its 38 branches across Jordan, particularly in the smaller urban areas.', 'Funding objective': ' FMO’s Risk Sharing Facility and Capacity Development (""CD"") support, enables Tamweelcom to finance Syrian refugee entrepreneurs and share the credit risk. FMO is unique in its offering as there are no guarantee programs, combined with CD, available to serve this group. \uf0d8', 'Why we fund this project': ' Our two transactions perfectly fit in FMO’s strategy to increase our activities in the MENA region. Jordan, considered regional safe haven and hosting country of many refugees, needs economic and inclusive growth to be able to cope with the migration challenges. Shown by its mission and track-record, Tamweelcom plays an important role contributing to economic development among underserved people and sectors. It will offer local opportunities to Syrian refugees enabling them to integrate in Jordan’s economy until they will be able to find better opportunities in Syria.', 'Environmental and social rationale': ' Tamweelcom is categorized as E&S C-risk, given the relatively small loan sizes (particularly related to the guaranteed loan portfolio). Tamweelcom applies the IFC Exclusion list and has an E&S policy in place (implemented in 2013 with IFC). It applies the IFC PS risk categorization. In the current loan portfolio, 87% is categorized as C (mostly Retail), 13% as B (Micro and Small Enterprises e.g. working in small industry, construction, poultry) and no A-categories.'}";Financial Institutions;JORDAN MICRO FINANCE COMPANY LTD;;;;
USD 0.05 MLN;;Zambia;8/23/2019;{'Who is our client': ' BioCarbon Partners Ltd focusses on forest conservation through the implementation of REDD+ projects in Zambia. REDD+ projects are considered a promising climate change mitigation strategy to avoid the deforestation of millions of hectares by providing economic incentives for ecosystem services.  BioCarbon Partners uses the economic benefits from the sale of Carbon Credits (VER’s) to facilitate forest conservation through community development initiatives and specialised teams and structures. The project enables FMO to get closer to its commitments and sustainability ambitions “doubling impact and halving footprint” and “green and inequalities labels”.', 'Funding objective': ' The Convertible Grant will be used to undertake studies to demonstrate the feasibility of REDD+ projects in Zambia. It will help lay a good foundation for future projects in the sector and the region.', 'Why we fund this project': ' The Convertible Grant will be beneficial on two fronts.  • Determine/ensure the robustness of the Project and analyze viability of REDD+ as an investment opportunity to mitigate climate change and avoid CO2e emissions.  • Allow FMO to improve its sector knowledge of community-based forest conservation.', 'Environmental and social rationale': ' The Project has a high development and environmental impact. The key development impacts include SDG 13 (climate Action), SDG 8 (Decent Work and Economic Growth), SDG 12 (Responsible Consumption and Production) and SDG 10 (Reduce inequality within and among countries).'};Energy;BIOCARBON PARTNERS LTD.;;;;
USD 0.50 MLN;;South Africa;12/14/2020;{'Who is our client': ' With headquarters in South Africa, Nomanini Holdings Proprietary Ltd. (Nomanini) offers technological solutions for informal retailers across Africa, allowing them to access financial services and improve access to working capital within the FMCG value chain.', 'Funding objective': ' Nomanini is raising a pre-Series B bridge round for existing and new investors to expand the team and execute on-going and new projects in the pipeline. FMO participates with a USD 500,000 convertible loan from the government fund MASSIF.', 'Why we fund this project': ' Nomanini focuses on unbanked vendors, kiosk- and shop holders, while its strategic partnerships allow the FinTech platform to be one of the ‘winning’ models. This fits with MASSIF’s objective to support end-beneficiaries through financing local financial intermediaries and institutions.', 'Environmental and social rationale': ' Nomanini acts as a SAAS company by offering its FinTech platform and white-label solutions to banks, MFIs and FMCG manufacturers and distributors. It is classified as a E&S C risk category.'};Financial Institutions;NOMANINI HOLDINGS PROPRIETARY LTD.;;;;
EUR 0.13 MLN;;Global;12/15/2020;{'Who is our client': ' AgriPlace B.V. is a cloud platform organization enabling effective compliance program management and communication between all actors in the supply chain. It aims at supporting smallholder farmers in emerging markets with certification requirements and compliance needed to sell their produce to European importers of organic products. At the same time, AgriPlace offers traders a solution for a transparent supply chain from field to retailer.', 'Funding objective': ' AgriPlace is one of the five winners of the Finture Solutions Challenge 2020. They won a repayable development contribution of EUR 125,000 and are using it to develop a remote auditing module for their platform and a network functionality to enable smallholder visibility.', 'Why we fund this project': ' The product supports smallholder farmers in their certification efforts and provides access to European importers of organic produce. It reduces the costs and complexity of certification for the farmers. This has a positive effect on the livelihoods of smallholders and their families.', 'Environmental and social rationale': ' The risk category is C. No IFC Performance Standards are triggered.  Certification is an effective and efficient way to ascertain that suppliers meet sustainability standards. The technology that AgriPlace provides contributes to making it easier for auditors to conduct their due diligence for certifications. It may create inclusiveness as more suppliers that would otherwise not be identified may enter the  scope of the food/retail /wholesale industry.  Authenticity of the documentation is assured by the auditors which in turn are accredited by independent certification bodies.  Main risk identified is linked to breaching customer data privacy and AgriPlace emphasizes that any such data breach would pose a significant reputational risk vis-a-vis their clients and financiers. The company is compliant with EU GDPR which is regularly audited. This requirement is embedded in the agreement with FMO.'};Agribusiness, Food & Water;AGRIPLACE HOLDING B.V.;;;;
USD 7.00 MLN;;Armenia;12/15/2020;{'Who is our client': ' EU-Armenia SME Fund is a private equity fund managed by Amber Capital. It had its First Close in January 2020, at USD 31mln, and is currently seeking to raise up to USD 75mln. The Fund is the initiative of EBRD (also an LP) and backed by a first-loss tranche from the European Commission. EBRD selected Amber following an RFP process.', 'Funding objective': ' Building Prospects intends to commit USD 7mln to the Fund, helping it reach its target size and broadening the institutional LP base. Amber intends to invest growth equity into Armenian SMEs with a sector agnostic strategy.', 'Why we fund this project': ' The Fund targets SMEs in a country where there is limited growth equity available. FMO’s commitment will help support the development of the Private Equity industry in Armenia. The Fund’s investments are expected to lead to job creation (also outside the capital Yerevan) and contribute to SDGs 8 and 10.', 'Environmental and social rationale': ' E&S category has been determined as category B (medium risk) based on the pipeline, investment strategy, and the relatively small fund/ticket size (with a focus on SMEs). FMO and EBRD will support the investment teams (training), review the ESMS and require consultation for high-risk investments.'};Infrastructure, Manufacturing and Services;EU-ARMENIA SME FUND, SCSP;;;;
EUR 0.05 MLN;;Sierra Leone;12/18/2020;"{'Who is our client': ' The contracting entities are BRAC Microfinance Sierra Leone Limited (BMSL) and BRAC Liberia Microfinance Company Limited (BML), wholly owned subsidiaries of BRAC International Holdings BV, which operate in microfinance. In 2008, BRAC started its microfinance activities in both Sierra Leone and Liberia. As of July 2019, BMSL has reached over 49,000 clients and BML 36,000 with their two main products: individual microloans for women delivered through groups, and enterprise loans targeting both male and female small-scale entrepreneurs.', 'Funding objective': ' In this project, an in-depth market analysis will be conducted and client-centric products and services will be developed. The project has two main goals: i) to have a deeper understanding of economic activities and financial needs of smallholder farmers in Sierra Leone and Liberia, and ii) to diversify the product offerings in the two countries to address the specific needs of the smallholder farmers, especially female farmers in these countries.', 'Why we fund this project': "" The development of financial products and delivery models for smallholder farmers (mainly women) is key in the context of reducing rural poverty, improving food security and supporting economic development. It is expected that interesting learnings can be derived from this project about smallholder financing. In addition, the project is well aligned with MASSIF's impact priorities and contributes to FMO’s Gender finance strategy as the main target for this project are women.""}";Financial Institutions;BRAC SIERRA LEONE;;;;
EUR 0.05 MLN;;Africa;12/21/2020;"{'Who is our client': ' The contracting entities are BRAC Microfinance Sierra Leone Limited (BMSL) and BRAC Liberia Microfinance Company Limited (BML), wholly owned subsidiaries of BRAC International Holdings BV, which operate in microfinance. In 2008, BRAC started its microfinance activities in both Sierra Leone and Liberia. As of July 2019, BMSL has reached over 49,000 clients and BML 36,000 with their two main products: individual microloans for women delivered through groups, and enterprise loans targeting both male and female small-scale entrepreneurs.', 'Funding objective': ' In this project, an in-depth market analysis will be conducted and client-centric products and services will be developed. The project has two main goals: i) to have a deeper understanding of economic activities and financial needs of smallholder farmers in Sierra Leone and Liberia, and ii) to diversify the product offerings in the two countries to address the specific needs of the smallholder farmers, especially female farmers in these countries.', 'Why we fund this project': "" The development of financial products and delivery models for smallholder farmers (mainly women) is key in the context of reducing rural poverty, improving food security and supporting economic development. It is expected that interesting learnings can be derived from this project about smallholder financing. In addition, the project is well aligned with MASSIF's impact priorities and contributes to FMO’s Gender finance strategy as the main target for this project are women.""}";Financial Institutions;BRAC LIBERIA;;;;
EUR 5.00 MLN;;Global;12/22/2020;{'Who is our client': ' Since its inception in 2008, the Sustainable Trade Initiative (“IDH”) has developed a market-based approach to smallholder value chain development. Currently, IDH works with over 600 companies, financial institutions, producer organisations, and governments in 12 value chains across 40 countries worldwide. As an evolution of its grants-based investments strategy, IDH established the Farmfit Fund (the “Fund”). To strengthen smallholder value chains and improve the livelihoods of farmers, the Fund will support a wide variety of actors ranging from traders to input providers, Agri SMEs and financial institutions across Africa, Asia, and Latin America.', 'Funding objective': ' The Fund will offer tailor-made financial instruments (debt, risk sharing, equity) and TA to a wide range of investees that sustainably engage with smallholder farmers. Its impact is further increased through leveraging commercial bank finance.', 'Why we fund this project': ' FMO will play an instrumental role in showcasing the viability of farmer finance. A dedicated team of investment professionals will focus on structuring and executing farmer finance deals. The team will be able to capitalize on IDH’s long track record in supporting smallholder value chains across the globe. FMO is additional in this project for several reasons: (1) Whereas the other investors focus on cash crops globally, FMO’s scope will include food crops in Africa thereby allowing the Fund to support projects with a high inclusivity level;;;;;;
EUR 8.10 MLN;;Burkina Faso;12/22/2020;{'Who is our client': ' FMO is investing into Kodeni Solar SASU (“Kodeni”), an SPV established under the laws of Burkina Faso with a total syndicated debt of EUR 32.4 million. The Sponsor is Africa REN Invest Ltd. (Mauritius), an IPP that is active in West Africa’s renewable energy market. Africa REN who also own and operate the Senergy 2 solar PV plant in Senegal, which was also financed by an FMO loan.', 'Funding objective': ' FMO’s loan of EUR 11.97 million will catalyse EUR 12.3 million from ICCF both for a 14.5 year tenor and mobilise a further EUR 8.1 million from AEF which will have a longer 20-year tenor. This financing will allow for the development, construction, operation and maintenance of a 38MWp solar farm with a total project cost of EUR 40.5 million.', 'Why we fund this project': ' This is a greenfield renewable energy development in a low-income sub-Saharan country and the first privately owned solar power project in the country. Kodeni will provide clean, reliable electricity to a country that has one of the lowest electrification rates in West Africa at a lower price than current thermal power stations. FMO’s tenor of up to 14 years and 6 months is not available in the Burkina Faso market and allows the project to offer an attractive tariff to SONABEL.', 'Environmental and social rationale': ' Category B+, all IFC PSs triggered except PS7, as there are no Indigenous Peoples groups affected by the project. Key E&S focus areas include provision of replacement land to land sellers, via a government-led process. The project company will follow and support the process in line with IFC PS requirements on Private Sector Responsibilities in Government Led Land Acquisition. While local communities and authorities are supportive of the project, proactive management of the project-community relationship and avoiding project-induced intra-community tensions are key areas where the company will continue to focus their efforts, given the deteriorating security context in Burkina Faso, where minor issues can escalate fast. A project-specific environmental and social management system with plans and procedures addressing all relevant areas, including the above, will be implemented by the project company and cascaded down to contractors and subcontractors.'};Energy;KODENI SOLAR S.A.S.U.;;;;
USD 10.00 MLN;;Africa;12/23/2020;{'Who is our client': ' Having raised a USD 78m private equity fund that invests in SMEs in Ethiopia, Kenya and Uganda, the same team from Ascent Rift Valley Fund I are now raising that fund’s successor: Ascent Rift Valley Fund II (“ARVF II”). ARVF II has a proposed fund size of USD 120m and will execute on the same strategy as its predecessor.', 'Funding objective': ' ARVF II aims to invest in and develop regional SMEs in East Africa, making use of its local presence and hands-on investment approach to do so. By investing in ARVF II, FMO can contribute to the economic growth of East Africa and help develop the private equity market in this region of the world.', 'Why we fund this project': ' This investment fits FMO’s strategy, deepening a relationship with an existing partner in African private equity investing and contributes further to FMO’s ambition of being a preferred partner for growth in emerging markets.', 'Environmental and social rationale': ' Based on the risk profile of the pipeline companies, the preliminary E&S categorization is B (medium – high risk). The fund manager has shown a strong commitment towards E&S and has a well-developed environment and social management system in place as well as an experienced and dedicated ESG manager in its team. ARVF II will conduct rigorous ESG due diligence during its investment process and the team will develop E&S action plans for its portfolio companies to bring them into compliance with IFC Performance Standards.'};Infrastructure, Manufacturing and Services;ASCENT RIFT VALLEY PARALLEL II LP;;;;
